,index,player_id,pretty_name,club_pretty_name,_name_and_club,index,pt_name,pt_team,_name_and_club,TRUSTWORTH
347,826,96454,Maxime Lestienne,Genua Cfc,Maxime Lestienne Genua Cfc,6832,LESTIENNE,genoa,LESTIENNE genoa,True
348,829,111961,Suso,Genua Cfc,Suso Genua Cfc,7057,SUSO J.,milan,SUSO J. milan,True
349,830,12563,Goran Pandev,Genua Cfc,Goran Pandev Genua Cfc,817,PANDEV G.,ancona,PANDEV G. ancona,True
350,831,172181,Diogo Figueiras,Genua Cfc,Diogo Figueiras Genua Cfc,7312,FIGUEIRAS,genoa,FIGUEIRAS genoa,True
351,832,183494,Issa Cissokho,Genua Cfc,Issa Cissokho Genua Cfc,7227,CISSOKHO I.,genoa,CISSOKHO I. genoa,True
352,833,197745,Riccardo Fiamozzi,Genua Cfc,Riccardo Fiamozzi Genua Cfc,7311,FIAMOZZI R.,genoa,FIAMOZZI R. genoa,True
354,836,224088,Olivier Ntcham,Genua Cfc,Olivier Ntcham Genua Cfc,7507,NTCHAM O.,genoa,NTCHAM O. genoa,True
357,839,287648,Giuseppe Panico,Genua Cfc,Giuseppe Panico Genua Cfc,6941,PANICO,genoa,PANICO genoa,True
358,842,36293,Serge Gakpe,Genua Cfc,Serge Gakpe Genua Cfc,7327,GAKPÉ S.,atalanta,GAKPÉ S. atalanta,True
359,843,50303,Tim Matavz,Genua Cfc,Tim Matavz Genua Cfc,7460,MATAVZ T.,genoa,MATAVZ T. genoa,True
361,848,70411,Darko Lazovic,Genua Cfc,Darko Lazovic Genua Cfc,7416,LAZOVIC D.,genoa,LAZOVIC D. genoa,True
362,849,75127,Ezequiel Munoz,Genua Cfc,Ezequiel Munoz Genua Cfc,4546,MUNOZ E.,palermo,MUNOZ E. palermo,True
364,853,9967,Blerim Dzemaili,Genua Cfc,Blerim Dzemaili Genua Cfc,3273,DZEMAILI B.,torino,DZEMAILI B. torino,True
365,856,126673,Adama Soumaoro,Genua Cfc,Adama Soumaoro Genua Cfc,9929,SOUMAORO A.,genoa,SOUMAORO A. genoa,True
366,857,146889,Peter Ankersen,Genua Cfc,Peter Ankersen Genua Cfc,9437,ANKERSEN P.,genoa,ANKERSEN P. genoa,True
367,858,167105,Lukas Lerager,Genua Cfc,Lukas Lerager Genua Cfc,9151,LERAGER L.,genoa,LERAGER L. genoa,True
368,861,199927,Davide Biraschi,Genua Cfc,Davide Biraschi Genua Cfc,7751,BIRASCHI D.,genoa,BIRASCHI D. genoa,True
369,862,21905,Valon Behrami,Genua Cfc,Valon Behrami Genua Cfc,1527,BEHRAMI V.,lazio,BEHRAMI V. lazio,True
371,864,235412,Jawad El Yamiq,Genua Cfc,Jawad El Yamiq Genua Cfc,8464,EL YAMIQ J.,genoa,EL YAMIQ J. genoa,True
373,866,242813,Filip Jagiello,Genua Cfc,Filip Jagiello Genua Cfc,9678,JAGIELLO F.,genoa,JAGIELLO F. genoa,True
